"행정구역","2024년03월_전체","2024년03월_남자","2024년03월_여자","2024년03월_아동전체","2024년03월_아동남자","2024년03월_아동여자","2024년03월_청소년전체","2024년03월_청소년남자","2024년03월_청소년여자","2024년03월_청년전체","2024년03월_청년남자","2024년03월_청년여자"
"서울특별시  (1100000000)","9,384,739","4,536,128","4,848,611","1,082,639","555,551","527,088","1,353,501","667,705","685,796","2,212,026","1,070,745","1,141,281"
"서울특별시 서울특별시 종로구 (1111000000)","139,498","67,228","72,270","13,298","6,619","6,679","19,718","9,296","10,422","33,815","16,330","17,485"
"서울특별시 서울특별시 중구 (1114000000)","121,602","58,767","62,835","10,220","5,189","5,031","13,415","6,412","7,003","30,028","14,121","15,907"
"서울특별시 서울특별시 용산구 (1117000000)","209,849","100,488","109,361","21,195","10,844","10,351","26,090","12,518","13,572","51,569","24,352","27,217"
"서울특별시 서울특별시 성동구 (1120000000)","276,964","134,232","142,732","30,131","15,300","14,831","36,886","17,919","18,967","67,131","32,540","34,591"
"서울특별시 서울특별시 광진구 (1121500000)","335,105","160,888","174,217","33,322","16,968","16,354","48,615","23,419","25,196","93,127","44,361","48,766"
"서울특별시 서울특별시 동대문구 (1123000000)","341,987","167,574","174,413","35,346","18,017","17,329","51,503","24,463","27,040","86,999","42,359","44,640"
"서울특별시 서울특별시 중랑구 (1126000000)","381,966","187,102","194,864","37,449","19,204","18,245","45,284","22,401","22,883","84,084","40,996","43,088"
"서울특별시 서울특별시 성북구 (1129000000)","424,881","203,700","221,181","50,303","25,758","24,545","70,161","33,718","36,443","98,450","47,443","51,007"
"서울특별시 서울특별시 강북구 (1130500000)","286,400","138,474","147,926","25,830","13,321","12,509","37,147","17,935","19,212","58,904","28,858","30,046"
"서울특별시 서울특별시 도봉구 (1132000000)","306,346","148,366","157,980","31,228","16,200","15,028","40,601","20,512","20,089","59,769","30,064","29,705"
"서울특별시 서울특별시 노원구 (1135000000)","497,064","238,492","258,572","61,958","32,085","29,873","84,202","43,100","41,102","103,675","52,332","51,343"
"서울특별시 서울특별시 은평구 (1138000000)","466,007","221,117","244,890","51,397","26,306","25,091","63,796","31,797","31,999","101,605","48,146","53,459"
"서울특별시 서울특별시 서대문구 (1141000000)","305,986","145,110","160,876","34,356","17,436","16,920","46,154","21,628","24,526","75,254","35,538","39,716"
"서울특별시 서울특별시 마포구 (1144000000)","363,645","169,745","193,900","40,802","20,692","20,110","52,345","24,683","27,662","96,900","43,693","53,207"
"서울특별시 서울특별시 양천구 (1147000000)","434,528","212,015","222,513","63,323","32,788","30,535","74,817","38,549","36,268","83,716","42,267","41,449"
"서울특별시 서울특별시 강서구 (1150000000)","561,386","268,922","292,464","63,546","32,526","31,020","74,599","36,628","37,971","136,415","63,916","72,499"
"서울특별시 서울특별시 구로구 (1153000000)","391,387","191,789","199,598","44,240","22,572","21,668","50,441","25,086","25,355","86,168","42,295","43,873"
"서울특별시 서울특별시 금천구 (1154500000)","227,160","114,278","112,882","19,518","9,921","9,597","25,388","12,397","12,991","58,855","29,904","28,951"
"서울특별시 서울특별시 영등포구 (1156000000)","375,148","183,680","191,468","39,790","20,348","19,442","44,647","21,662","22,985","99,730","47,087","52,643"
"서울특별시 서울특별시 동작구 (1159000000)","378,649","183,036","195,613","39,593","20,308","19,285","54,462","26,722","27,740","100,567","49,463","51,104"
"서울특별시 서울특별시 관악구 (1162000000)","481,958","242,765","239,193","34,610","17,758","16,852","63,038","29,914","33,124","166,647","85,099","81,548"
"서울특별시 서울특별시 서초구 (1165000000)","407,840","194,116","213,724","63,765","32,446","31,319","70,708","35,082","35,626","83,086","39,532","43,554"
"서울특별시 서울특별시 강남구 (1168000000)","554,280","265,082","289,198","85,437","44,413","41,024","97,040","49,560","47,480","115,352","54,938","60,414"
"서울특별시 서울특별시 송파구 (1171000000)","653,736","313,887","339,849","89,030","45,579","43,451","96,374","48,210","48,164","144,862","68,761","76,101"
"서울특별시 서울특별시 강동구 (1174000000)","461,367","225,275","236,092","62,952","32,953","29,999","66,070","34,094","31,976","95,318","46,350","48,968"
